	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-K4-A5RI-11A-11R-A28M-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GD-A3OQ-11A-21R-A220-07
1	71.5	81.14	120.94	197.09	239.52	94.01	121.79	199.85	93.35	182.55	688.78	91.41	68.07	205.5	28.04	126.12	106.63
2	23820.89	21768.19	24660.96	4358.66	13968.57	9151.82	12076.21	18304.63	14663.09	13872.08	42937.97	23330.64	12244.81	81244.48	11909.94	29531.18	16611.71
9	59.97	33.54	50.63	120.94	134.3	139.07	125.24	95.34	48.18	78.34	74.58	23.59	56.68	105.89	41.81	83.45	112.77
10	3.06	0	0.82	0	0.38	1.68	1.99	1.58	2.16	0	0	1.75	1.75	0	0	1.57	1.46
12	1250.98	1498.22	1870.53	149.12	323.03	647.07	400.71	1639.59	1313.23	1183.45	2047	9945.68	679.29	1417.35	314.17	603.67	769.69
13	22.43	12	4.13	2.78	226.54	5.45	995	6.41	26.47	21.47	9.27	2.25	85.82	82.29	4.9	83.45	185.11
14	1909.85	2520.38	3039.3	3614.55	2720.15	3540.14	2720.15	3039.3	2485.67	2520.38	3212.66	2520.38	3349.13	2468.49	2400.97	2935.74	2777.33
15	0	0	0	0.35	3.66	2.34	4.74	6.67	3.03	0.83	3.53	0	2.1	0	0	1.57	1.85
16	1583.71	1651	1909.85	961.07	1044.52	896.64	1001.93	1322.37	1781.89	559.28	890.44	1350.18	616.37	1350.18	2032.85	915.51	1208.34
18	38.67	53.19	138.1	486.75	583.07	327.56	221.86	154.42	59.55	126.12	103.69	31	295.11	143.01	32.59	260.38	583.07
19	283.05	438.59	281.09	148.09	145.02	98.73	175.07	325.29	571.05	61.68	172.65	684.02	77.25	149.12	273.37	173.85	379.04
20	454.09	397.93	599.49	463.65	167.9	307.69	287.01	444.72	473.41	241.19	503.95	299.25	432.53	387.02	466.88	507.46	486.75
21	248	176.29	157.68	63.89	32.36	31.67	47.17	121.79	201.25	33.54	70.51	115.16	22.75	63	291.04	48.18	108.14
22	435.55	332.14	441.64	307.69	305.55	255	228.13	414.87	409.15	309.83	241.19	400.71	251.48	299.25	305.55	307.69	287.01
23	1286.18	1191.69	1088.92	1015.93	988.12	1073.91	743.43	1127.35	1151.06	1088.92	1143.1	961.07	1498.22	1111.82	1199.98	1135.2	988.12
24	11.38	14.14	14.67	3.08	23.08	6.41	40.64	2.81	37.32	10.71	78.34	10.08	2.48	8.06	3.56	4.78	3.72
25	2591.27	2777.33	2335.28	603.67	447.82	595.34	633.73	1857.6	2627.46	624.99	1313.23	4239.45	1096.5	1313.23	2417.67	967.76	1044.52
26	6.57	1.79	8.51	46.18	29.48	29.48	14.67	60.82	7.34	57.89	211.31	1.35	19.82	27.25	0	1.2	3.35
27	105.89	312	139.07	52.08	61.25	40.07	40.36	111.21	140.04	104.42	132.44	392.44	187.71	130.6	75.11	187.71	75.11
29	842.36	796.86	1199.98	2004.85	718.08	1685.71	1457.23	1268.46	941.27	1447.15	995	638.15	1417.35	954.43	1183.45	1662.49	2224.63
30	961.07	688.78	1183.45	3515.68	1313.23	3235.01	1991	1794.29	890.44	2335.28	2119.22	679.29	2287.2	1832.01	753.83	2061.24	2502.97
31	981.29	1001.93	656.11	633.73	819.3	503.95	836.53	836.53	1059.11	579.04	299.25	921.88	536.45	759.08	769.69	693.58	769.69
32	638.15	780.44	748.61	171.45	107.38	117.6	77.79	819.3	1111.82	84.04	166.73	1030.12	133.36	194.36	928.3	229.72	343.89
33	3.14	8.92	15.11	44.57	23.93	5.77	1.25	29.7	13.03	6.26	13.12	11.91	14.03	11.82	7.11	18.56	27.25
34	988.12	1427.22	1159.07	1304.15	1208.34	1883.54	848.22	1037.29	1066.48	1030.12	796.86	1242.34	890.44	967.76	1268.46	1073.91	1617
35	521.76	368.65	551.56	555.41	323.03	532.74	543.96	521.76	563.18	297.17	563.18	406.31	281.09	325.29	587.13	366.09	417.77
36	231.32	334.46	277.2	351.14	171.45	297.17	289.02	273.37	332.14	185.11	143.01	314.17	253.23	208.38	293.07	253.23	656.11
37	4937.99	5147.73	5555.65	11424.74	4210.15	8840.04	11992.79	8598.28	5329.3	8247.98	11504.21	4736.79	21172.91	5403.7	5147.73	10808.41	8363.13
38	2367.9	2287.2	2224.63	688.78	551.56	532.74	1167.14	1572.76	2451.44	1268.46	1225.22	2573.36	395.18	1127.35	2319.15	796.86	896.64
39	371.22	211.31	346.29	503.95	559.28	353.59	1340.84	273.37	244.57	651.58	361.04	209.84	295.11	684.02	182.55	500.46	323.03
40	3.89	0	0	0.68	1.1	0	1.19	0.39	0	0	0	0.87	1.39	1.46	0.44	0.79	1.1
41	120.94	98.73	97.36	9.93	33.54	12.18	34.26	56.28	70.51	24.81	55.89	123.5	18.7	82.29	67.59	43.94	57.89
43	6.67	26.1	44.25	24.81	41.81	35.25	10.47	97.36	4.39	41.81	88.26	18.43	38.4	39.5	8.45	76.71	32.36
47	961.07	764.36	1001.93	684.02	1498.22	669.92	684.02	633.73	764.36	638.15	703.28	759.08	684.02	1378.57	860.08	796.86	1008.9
48	1359.57	981.29	928.3	356.05	348.71	329.84	432.53	791.35	1073.91	329.84	480.04	961.07	412	660.68	1066.48	426.57	507.46
49	16.63	2.68	21.47	7.46	5.19	14.35	14.67	15.8	9.93	9.06	20.86	12.27	10.47	9.56	16.63	13.72	5.19
50	2555.58	2835.7	2537.92	2148.82	1662.49	2485.67	1909.85	2018.8	2537.92	1806.78	1870.53	2255.7	2451.44	1806.78	2319.15	1844.76	2148.82
51	406.31	423.61	503.95	988.12	819.3	616.37	612.11	480.04	514.56	567.1	441.64	651.58	1175.27	543.96	395.18	890.44	1191.69
52	1225.22	1250.98	1216.75	1883.54	1437.15	1519.15	1757.34	1417.35	1388.16	1331.57	1583.71	1268.46	1508.65	1977.24	1540.37	1259.69	1674.06
53	525.39	426.57	603.67	525.39	698.41	825	490.14	638.15	466.88	363.56	769.69	269.6	289.02	759.08	409.15	414.87	656.11
54	587.13	624.99	483.38	381.68	995	607.87	525.39	1199.98	497	941.27	2502.97	305.55	426.57	1059.11	260.38	775.05	426.57
55	5.77	21.16	9.85	34.75	260.38	81.71	909.17	9.93	7	764.36	19.11	8.38	32.59	24.11	4.46	38.4	44.89
56	6.94	0	8.45	0	3.66	1.68	1.99	3.56	8.58	0	0	8.65	0	1.1	2.2	1.58	1.11
58	273.37	346.29	69.52	12.93	1.87	4.39	3.99	9.48	73.03	2.1	2.16	201.25	3.17	3.32	518.15	3.56	3.69
59	311742.51	214407.12	177811.84	20030.74	8134.41	23656.34	38697.77	163620.18	223512.12	13399.51	59474.18	187950.38	16383	52497.92	290865.98	29736.59	65082.31
60	38430.46	46986.85	57448.23	59887.86	64186.29	99333	88905.42	65990.84	23492.92	169390.27	66912.05	45701.96	179048.63	75803.72	30999.42	172949.54	59063.35
70	109455.64	47313.67	44761.41	289.02	62.56	1844.76	8963.45	43840.21	41188.81	40.07	9088.59	46019.85	511	5329.3	65990.84	19.25	8718.32
72	527933.71	318292.9	130165.62	13872.08	4066.71	15499.21	34158.52	154794.07	277089.94	6079.61	48307.85	229795.93	9474.59	36610.26	479109.86	23656.34	75803.72
81	16960.78	15392.14	10084.54	4903.87	5255.91	7966.99	8538.88	7857.29	12160.22	11664.82	4769.75	10585.95	10368.08	7485.11	20593.91	7280.4	7803.01
86	848.22	473.41	679.29	718.08	1540.37	665.29	854.13	497	470.14	583.07	633.73	435.55	575.03	1023	518.15	674.59	796.86
87	22072.07	21320.18	11992.79	2816.11	2032.85	1447.15	2816.11	10368.08	22850.48	1857.6	3716.2	18304.63	2384.37	4419.52	26800.01	2032.85	4903.87
88	591.22	743.43	63	17	5.19	17.51	6.41	69.03	1417.35	9.13	17.38	441.64	6.36	4.06	1135.2	4.39	83.45
90	651.58	688.78	629.35	285.03	547.75	244.57	231.32	490.14	836.53	176.29	392.44	387.02	371.22	780.44	660.68	540.19	547.75
91	134.3	136.19	283.05	454.09	301.33	323.03	343.89	212.78	146.03	234.57	314.17	435.55	297.17	316.37	108.14	483.38	555.41
92	195.72	220.32	258.57	339.14	287.01	251.48	186.4	231.32	175.07	178.77	161.02	181.28	165.57	232.94	120.94	299.25	293.07
93	29.7	23.42	31.22	49.91	46.84	17.51	11.64	30.78	49.56	11.64	18.16	12.27	17.25	38.4	27.64	53.19	77.79
94	575.03	356.05	896.64	237.86	414.87	262.2	110.43	483.38	460.44	312	1037.29	486.75	256.78	909.17	432.53	638.15	620.67
95	299.25	232.94	412	1378.57	1167.14	1081.39	848.22	633.73	224.97	563.18	819.3	208.38	896.64	890.44	204.07	1313.23	1051.79
97	397.93	134.3	236.21	255	343.89	275.28	329.84	253.23	237.86	202.66	195.72	205.5	178.77	323.03	157.68	297.17	267.73
98	441.64	497	463.65	633.73	518.15	536.45	403.5	473.41	371.22	255	454.09	417.77	583.07	514.56	511	454.09	438.59
100	199.85	115.16	307.69	42.41	178.77	146.03	368.65	361.04	158.79	373.81	361.04	171.45	66.18	346.29	153.34	92.05	94.01
101	11.55	62.56	90.77	334.46	206.94	368.65	80.01	277.2	40.93	120.94	575.03	35.76	995	368.65	26.67	460.44	490.14
102	417.77	412	669.92	1096.5	2434.5	896.64	420.68	713.11	483.38	529.06	599.49	406.31	1111.82	1651	299.25	1378.57	1369.04
103	1259.69	1175.27	1519.15	1331.57	1331.57	1572.76	802.41	1104.13	1151.06	921.88	1051.79	878.17	1081.39	2032.85	1015.93	1477.58	1709.26
104	2271.4	3540.14	1540.37	124.37	92.05	191.67	371.22	1697.45	3467.27	82.87	373.81	2555.58	133.36	358.54	3614.55	129.69	543.96
105	0.91	6.62	2.89	0	15.45	1.04	0	4.78	24.99	7.88	6.06	3.96	17.77	2.97	3.11	20.71	1.87
107	68.55	22.43	23.08	49.21	27.44	17.38	5.63	7.17	13.03	5.82	18.43	15.34	9.13	29.91	9.27	19.97	37.59
108	111.99	140.04	100.83	57.49	21.63	19.68	10.55	159.9	155.5	7.17	57.08	63.45	76.71	86.43	206.94	148.09	102.97
109	764.36	629.35	1119.56	651.58	981.29	559.28	607.87	902.89	656.11	775.05	1208.34	764.36	575.03	1407.55	454.09	1151.06	1008.9
111	1359.57	1340.84	928.3	205.5	108.14	159.9	187.71	860.08	819.3	73.03	251.48	1135.2	177.53	262.2	1519.15	223.41	624.99
112	258.57	256.78	346.29	915.51	316.37	395.18	231.32	289.02	264.03	191.67	199.85	244.57	314.17	269.6	305.55	429.54	769.69
113	90.77	78.34	84.04	39.79	75.64	89.51	102.25	111.21	100.83	155.5	92.7	24.28	48.18	144.01	66.65	42.41	122.64
114	0.43	0	0	0.34	0	0.34	0	0	0	0	0	0	0	0	1.31	0	0
115	480.04	466.88	392.44	92.7	58.71	145.02	73.54	258.57	423.61	84.63	115.16	336.79	120.94	241.19	450.94	229.72	256.78
116	19.25	18.56	92.7	9.56	9.56	29.48	4.43	124.37	125.24	64.34	387.02	47.5	236.21	48.52	1.35	72.52	19.11
117	17.51	39.22	40.93	9.48	9.56	3.38	3.63	17	51.71	2.1	10.63	63	4.58	17.51	66.18	13.72	19.39
118	7230.1	6745.86	7280.4	5076.84	4358.66	3614.55	3212.66	6250.56	8022.41	2956.17	5255.91	5594.3	3665.02	4481.23	7803.01	4181.07	5219.6
119	6.16	8.38	15.8	3.44	8.13	5.06	3.23	22.1	14.24	8.25	19.11	22.26	10.88	46.84	10.16	5.54	27.05
120	669.92	466.88	967.76	1127.35	624.99	1388.16	417.77	743.43	674.59	733.19	780.44	420.68	836.53	1015.93	420.68	995	1561.89
123	1073.91	1001.93	1369.04	1487.87	1583.71	1331.57	218.79	1457.23	1605.83	1143.1	2255.7	1617	5255.91	1151.06	1143.1	2468.49	1487.87
124	23.59	4.46	31.45	20.26	6.67	7.75	28.45	9.93	13.83	4.98	7.82	6.62	8.45	3.35	12.27	11.38	10.31
125	7537.18	3039.3	9876.98	791.35	1857.6	1662.49	353.59	4903.87	5292.48	1572.76	4181.07	2287.2	1081.39	2915.45	3982.99	3039.3	1936.53
127	0	0	2.05	9.13	53.57	2.36	0	6.31	0.45	1.66	3.89	1.33	3.17	4.78	0.91	0	2.23
128	7749.1	6471.02	6792.79	4066.71	5555.65	2835.7	4298.64	5711.87	7537.18	1936.53	3614.55	5633.22	1896.65	5006.93	7180.15	3540.14	4388.98
130	6.21	10.24	16.27	127	69.52	7.75	6.46	8.78	8.71	5.82	5.73	5.32	13.03	42.71	2.25	8.71	43.63
131	0	0	0	0.37	389.72	18.29	8963.45	35.25	0	460.44	4.62	1.35	0	7.69	0	85.82	4.43
132	316.37	376.41	579.04	743.43	1417.35	842.36	1378.57	612.11	341.51	1225.22	775.05	435.55	728.11	884.29	307.69	624.99	878.17
133	529.06	995	1757.34	246.28	575.03	1233.75	1225.22	1540.37	674.59	3901.01	1832.01	1259.69	4123.49	693.58	228.13	1378.57	423.61
134	25.72	12.83	13.03	6.46	17.64	6.41	4.03	9.56	15.91	4.58	37.05	11.82	2.48	33.06	13.62	15.68	23.76
135	26.47	36.53	103.69	31.9	120.1	34.75	26.86	94.01	30.78	67.59	237.86	51.35	39.79	120.1	22.92	94.01	50.63
136	59.97	23.93	57.89	151.22	195.72	363.56	320.8	191.67	34.26	629.35	285.03	39.22	802.41	299.25	52.08	264.03	121.79
140	155.5	72.52	72.01	49.91	120.94	75.11	40.93	90.14	348.71	182.55	525.39	31.45	59.55	96.68	59.97	18.03	120.94
141	223.41	229.72	265.87	100.83	144.01	64.34	61.25	133.36	239.52	84.63	171.45	267.73	94.67	223.41	305.55	93.35	120.1
142	2351.53	2468.49	2119.22	1066.48	1721.16	928.3	1081.39	1991	1923.14	1001.93	1208.34	2209.26	660.68	1896.65	2451.44	1059.11	1427.22
143	381.68	363.56	473.41	819.3	921.88	759.08	353.59	429.54	403.5	361.04	518.15	267.73	1159.07	567.1	486.75	698.41	1073.91
146	9.27	15.91	70.51	23.76	22.1	18.84	16.03	39.5	14.35	23.93	23.76	24.99	46.18	47.5	22.1	83.45	115.97
147	14.78	12.74	20.11	0.37	1.5	4.03	0.83	8.71	24.46	1.68	4.62	17.38	1.07	4.43	14.03	0.41	0.77
148	3.08	3.53	13.32	3.06	2.58	4.7	0.82	13.42	19.25	2.07	6.36	4.39	5.92	9.13	7	8.58	1.48
150	75.11	78.34	339.14	38.95	121.79	84.04	36.27	218.79	43.63	111.99	358.54	87.65	71	246.28	73.54	176.29	127
151	8	9.78	39.5	19.82	10.79	39.5	5.68	37.59	9.2	7.11	16.39	23.25	39.5	14.78	7.57	88.88	239.52
152	25.54	38.67	86.43	62.56	13.03	31.45	31.22	31.9	39.5	62.56	39.79	81.14	49.21	54.72	30.12	66.18	115.97
153	0.91	0.46	6.52	78.34	36.79	57.89	2.43	5.96	1.33	2.1	37.32	0	16.39	14.67	0	34.02	180.02
154	40.07	47.5	148.09	120.1	348.71	299.25	141.02	177.53	51.35	417.77	163.28	202.66	166.73	120.94	45.53	154.42	138.1
155	275.28	113.56	134.3	4.21	41.81	21.63	44.89	162.14	206.94	10.47	35.25	51.71	2.56	81.14	190.34	13.52	45.85
156	802.41	748.61	934.76	1313.23	1781.89	1709.26	1304.15	1286.18	796.86	1662.49	1896.65	579.04	1467.37	1313.23	616.37	1529.73	1208.34
157	50.98	66.65	69.03	94.01	75.64	38.95	15.68	74.06	57.08	36.53	81.14	26.67	74.06	94.01	39.22	69.03	127.89
158	1378.57	909.17	1104.13	796.86	896.64	769.69	819.3	1167.14	1127.35	733.19	981.29	860.08	525.39	1104.13	1030.12	813.63	775.05
159	629.35	679.29	679.29	866.07	819.3	974.5	607.87	769.69	543.96	688.78	813.63	571.05	825	947.83	638.15	902.89	808
160	1561.89	1096.5	1216.75	974.5	1685.71	1051.79	1143.1	1199.98	1225.22	1044.52	1127.35	947.83	854.13	1331.57	1259.69	981.29	1008.9
161	1051.79	890.44	878.17	808	693.58	866.07	444.72	1044.52	1023	583.07	1001.93	693.58	842.36	733.19	878.17	616.37	808
162	941.27	769.69	1096.5	2119.22	1388.16	1857.6	1883.54	967.76	769.69	1950	1477.58	612.11	1498.22	1487.87	743.43	1233.75	1936.53
163	1508.65	1096.5	1540.37	1304.15	1870.53	688.78	332.14	1059.11	1143.1	493.56	928.3	1015.93	1417.35	1685.71	1073.91	1286.18	1477.58
164	420.68	409.15	463.65	466.88	514.56	473.41	507.46	423.61	356.05	679.29	295.11	373.81	620.67	587.13	277.2	591.22	638.15
165	5594.3	5292.48	12244.81	1674.06	2537.92	2573.36	1199.98	6207.38	3614.55	2119.22	6381.92	6079.61	3103.19	8840.04	4512.4	5006.93	4358.66
166	14163.58	13586.57	13399.51	16843.62	19892.37	14971.21	11827.67	15499.21	14361.31	8421.31	12329.98	16496.96	13399.51	9279.58	13681.08	15715.58	11584.24
167	0	0	0	0	0.73	1	0	0	0	1.62	0	0	0.69	2.53	0	0	0
173	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0	0	0
174	3.89	2.63	0	0	9.06	1.01	13.32	0	2.16	1.23	5.23	4.78	0	1.46	14.24	0	0.38
175	358.54	265.87	387.02	371.22	595.34	412	995	295.11	146.03	454.09	314.17	239.52	332.14	500.46	141.02	366.09	409.15
176	14.89	17.13	96.01	0.72	19.39	60.39	17.13	24.11	2.2	32.59	51.71	14.45	20.26	45.53	15.34	21.94	16.51
177	30.12	35.5	68.07	165.57	105.15	129.69	57.49	201.25	66.18	49.56	158.79	31.9	96.01	34.02	75.64	151.22	125.24
178	417.77	373.81	275.28	183.82	256.78	214.27	241.19	232.94	361.04	153.34	111.99	368.65	169.07	169.07	384.34	212.78	351.14
181	0	2.18	1.6	2.68	1.1	1	0	1.57	0	0	0	0	0	0	0	0	0
182	303.44	303.44	759.08	743.43	703.28	688.78	753.83	536.45	373.81	819.3	486.75	343.89	1081.39	1250.98	251.48	819.3	1199.98
183	50.98	189.02	249.73	162.14	15.22	32.36	95.34	38.12	68.55	38.4	120.1	175.07	115.16	368.65	20.41	389.72	63.45
185	384.34	536.45	426.57	59.13	65.26	42.71	68.55	409.15	872.1	67.59	205.5	417.77	62.12	208.38	684.02	68.55	135.24
186	0	0	0.8	0.34	0.73	0	0	0	0.85	0	0	2.58	0	0	0	0	0
187	191.67	156.59	759.08	7.51	124.37	143.01	35.25	205.5	67.12	39.79	121.79	139.07	25.17	629.35	156.59	73.54	88.88
189	0	0	0	0.69	0.38	0	0.41	0	0	5.73	2.12	0.44	3.47	1.1	0	2.73	4.03
190	0	0.89	5.63	0	2.56	0.35	0	0.4	0	0.42	6.62	3.47	0	2.56	4.78	0	0.74
191	1832.01	1594.73	2090.03	2434.5	2148.82	1857.6	3303	1923.14	1639.59	2319.15	1819.35	1540.37	1923.14	2255.7	1551.09	2133.97	1909.85
196	361.04	432.53	796.86	1216.75	2047	1225.22	262.2	651.58	323.03	414.87	866.07	420.68	2777.33	1583.71	303.44	3515.68	1950
197	0	0	0.82	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0
199	1397.83	1605.83	1175.27	379.04	896.64	1183.45	514.56	1225.22	796.86	961.07	5006.93	775.05	420.68	1819.35	525.39	819.3	981.29
202	28.86	25.91	251.48	860.08	417.77	656.11	1277.29	303.44	37.05	1594.73	480.04	31.45	1023	493.56	16.63	1216.75	1594.73
203	3039.3	2384.37	2895.31	915.51	1225.22	954.43	1857.6	2271.4	2701.35	1066.48	1963.57	1963.57	679.29	2193.99	2835.7	819.3	1104.13
204	1697.45	1794.29	2178.83	3303	2739.08	3443.31	3081.75	2090.03	1605.83	3665.02	2303.12	1745.2	2209.26	2796.65	1844.76	2555.58	2720.15
205	1167.14	1023	551.56	299.25	36.79	486.75	486.75	536.45	995	314.17	182.55	1832.01	119.26	256.78	1059.11	161.02	361.04
207	4802.93	3515.68	2720.15	1909.85	1594.73	2335.28	1757.34	2701.35	3690.52	1697.45	2075.59	3081.75	2004.85	2319.15	3820.7	2075.59	2148.82
208	2664.15	2133.97	2240.11	1936.53	1870.53	2032.85	1844.76	2319.15	1991	1561.89	1628.26	2047	1709.26	2287.2	2178.83	2468.49	2502.97
210	1225.22	902.89	743.43	1037.29	543.96	547.75	1088.92	947.83	995	518.15	490.14	928.3	381.68	638.15	1059.11	555.41	915.51
211	780.44	941.27	1111.82	2915.45	2335.28	2701.35	1208.34	1322.37	688.78	1806.78	2178.83	988.12	4481.23	2384.37	624.99	4210.15	2451.44
212	10.79	4.82	1.62	1.03	4.74	1.68	0	3.53	11.55	4.1	0.72	2.18	0	2.18	0	5.82	43.32
213	0.92	0	2.92	3.11	3	3.76	0	9.56	0	0	2.18	3.11	2.51	0	7.51	0	3
214	595.34	647.07	647.07	928.3	4481.23	363.56	193.01	723.08	718.08	161.02	244.57	684.02	647.07	532.74	1378.57	836.53	974.5
215	406.31	412	373.81	175.07	138.1	145.02	106.63	312	476.71	56.28	209.84	343.89	129.69	175.07	473.41	153.34	223.41
216	665.29	738.29	1594.73	775.05	1806.78	493.56	3901.01	743.43	679.29	529.06	1119.56	713.11	902.89	1268.46	348.71	1685.71	603.67
217	6121.9	7642.41	5995.9	1819.35	1407.55	1963.57	4210.15	5594.3	10512.82	2502.97	3716.2	6792.79	1832.01	3614.55	6294.04	2090.03	2591.27
218	21.32	14.78	61.25	83.45	2573.36	150.17	8718.32	273.37	13.22	1909.85	3257.52	5.82	260.38	915.51	14.78	134.3	361.04
219	8658.09	11827.67	4358.66	384.34	281.09	583.07	1051.79	5329.3	6426.31	215.77	1295.13	7537.18	381.68	1208.34	10014.87	679.29	1674.06
220	267.73	128.79	423.61	271.48	669.92	1119.56	301.33	1388.16	98.04	2451.44	1340.84	638.15	4836.35	1135.2	90.77	1883.54	1721.16
221	220.32	220.32	229.72	607.87	616.37	470.14	890.44	228.13	237.86	343.89	301.33	133.36	229.72	309.83	204.07	145.02	329.84
222	0.48	1.39	27.84	693.58	1378.57	1242.34	4543.8	267.73	0	1572.76	56.68	0.48	92.7	435.55	4.06	42.71	607.87
223	1806.78	1437.15	1832.01	1088.92	1051.79	723.08	2573.36	1519.15	1721.16	1594.73	1242.34	1369.04	703.28	1407.55	1359.57	1073.91	1529.73
224	872.1	854.13	947.83	595.34	813.63	674.59	3018.3	988.12	1066.48	1617	665.29	961.07	616.37	872.1	1008.9	860.08	1088.92
225	56.28	36.79	35	8.78	8.45	3.38	4.78	26.67	40.93	4.13	10.55	25.54	2.12	18.97	47.5	5.11	16.39
226	50011.46	40341.14	46019.85	41763.8	32994.92	47974.16	80125.95	40062.48	48643.87	62865.33	42054.3	36357.37	52497.92	27553.49	47642.77	38430.46	35363.15
229	3.5	1.33	4.86	0.69	2.58	0.35	0.82	3.17	2.61	0.42	1.07	1.33	0	0.39	1.77	0.41	0.39
230	426.57	450.94	896.64	555.41	1030.12	356.05	1397.83	607.87	629.35	1617	493.56	325.29	255	511	607.87	728.11	414.87
231	1487.87	1628.26	2384.37	1583.71	1832.01	759.08	4181.07	2104.58	2119.22	947.83	2520.38	1467.37	2032.85	4937.99	2075.59	3146.52	2720.15
238	4.35	9.56	2.03	1.03	0.38	3.35	0	1.19	3.44	1.25	1.43	4.35	0.37	1.46	3.5	2.73	2.56
239	0.92	8	3.32	9.2	4.1	18.7	1233.75	14.24	16.03	6207.38	10	4.43	6.36	29.91	8	24.28	16.15
240	137.14	198.47	642.59	5594.3	1832.01	2816.11	376.41	1286.18	155.5	273.37	1617	109.66	3235.01	470.14	101.54	2303.12	2287.2
241	555.41	521.76	547.75	176.29	718.08	567.1	229.72	665.29	693.58	796.86	1819.35	454.09	591.22	842.36	351.14	460.44	470.14
242	0	0	1.64	17	1.11	1.68	423.61	1.58	0	265.87	4.58	0	10	3.29	0	4.7	1.11
244	3.2	3.2	234.57	1059.11	684.02	1870.53	8778.97	297.17	0	3742.05	791.35	4.54	1397.83	669.92	0	532.74	1066.48
246	3.56	0	4.54	31	67.59	44.89	144.01	3.2	1.33	34.75	9.27	5.73	6.36	81.14	0.92	18.03	45.21
247	0	0	2.92	17.77	28.45	444.72	1936.53	12	4.86	2875.3	35	1.38	25.35	11.47	0	4.03	4.86
248	0	0	0	0	0.37	0	0	0	0	0	0	0	0	0	0	0	0
249	49.91	74.06	72.52	67.59	182.55	55.49	248	103.69	59.13	138.1	583.07	38.95	151.22	583.07	59.13	122.64	105.15
250	0.89	0	0	0.69	8	2.68	0	1.2	0	0	0.38	0	1.77	6.21	0	1.97	1.11
251	0	0	0	0	0.74	0	0	0	0	0	0	0	0	3.59	0	0	0
257	7.34	0	0	0	13.32	0	1.99	11.3	2.58	1.23	1.41	0.44	0	2.18	6.52	1.19	0.38
258	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73	0	0	0
259	0	3.53	0.84	0	1.13	1.03	5.54	0	8.19	1.66	1.08	2.2	0	12	2.2	0	1.85
262	693.58	1151.06	769.69	525.39	591.22	460.44	1487.87	684.02	802.41	1651	909.17	2739.08	1340.84	981.29	708.18	890.44	543.96
265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	0	0	0	0	0	0	0	0	0	0	0	0	2.07	0	0	0	0
267	1304.15	1250.98	1617	1111.82	1286.18	1242.34	1437.15	1467.37	1359.57	1583.71	1304.15	1119.56	1167.14	1359.57	1233.75	1487.87	1277.29
268	10.96	3.56	0	4.46	8.85	8.38	17.13	2.81	6.94	11.91	2.89	3.11	14.03	12.83	0	8.25	1.14
269	2.63	9.56	3.26	0	1.48	3	0.41	1.58	5.59	0	6.67	0.45	0	6.52	5.68	1.19	1.85
270	0	2.2	8.99	7.11	18.43	0.34	5.19	2.36	0	5.36	8.51	0	0	1.1	0	2.36	2.2
271	358.54	318.57	521.76	529.06	563.18	470.14	303.44	483.38	379.04	403.5	703.28	356.05	547.75	543.96	423.61	620.67	656.11
272	39.5	31.22	63.89	232.94	205.5	279.14	185.11	140.04	51.35	116.78	217.27	37.59	361.04	134.3	13.22	249.73	258.57
273	144.01	34.51	48.87	19.53	20.71	18.84	6.11	38.95	80.01	11.64	44.25	34.51	39.22	80.57	64.34	96.68	65.72
274	3639.7	3419.52	2976.74	688.78	571.05	575.03	764.36	2895.31	4181.07	529.06	2351.53	4038.61	587.13	1508.65	4123.49	796.86	1259.69
275	249.73	275.28	429.54	769.69	426.57	483.38	120.94	466.88	339.14	115.97	368.65	277.2	728.11	211.31	253.23	638.15	651.58
276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0
280	61.25	67.12	143.01	303.44	84.04	157.68	36.01	271.48	118.43	58.3	173.85	47.84	327.56	31.45	114.36	258.57	228.13
283	559.28	279.14	693.58	435.55	612.11	293.07	198.47	603.67	642.59	237.86	507.46	387.02	480.04	312	400.71	860.08	373.81
284	106.63	166.73	241.19	28.86	42.71	39.79	29.7	166.73	234.57	50.63	43.94	231.32	17.25	136.19	115.97	34.26	42.71
285	98.73	60.82	154.42	24.46	49.56	70.51	29.91	59.97	122.64	102.97	135.24	183.82	51.71	163.28	48.18	87.65	59.13
