	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-K4-A5RI-11A-11R-A28M-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GD-A3OQ-11A-21R-A220-07
158293	1268.46	1143.1	1044.52	1437.15	753.83	921.88	629.35	1081.39	1143.1	624.99	842.36	884.29	1066.48	941.27	1225.22	1350.18	1268.46
158297	0	0	1.22	1.01	0	0	0	1.57	0	0	1.41	0.43	0.69	1.45	0.88	0	0.37
158326	228.13	107.38	178.77	142.01	28.86	38.95	27.25	248	97.36	27.84	97.36	171.45	76.17	171.45	264.03	211.31	176.29
158358	255	262.2	198.47	169.07	166.73	173.85	134.3	214.27	195.72	155.5	108.14	217.27	251.48	214.27	211.31	256.78	289.02
158399	8.85	22.92	40.07	18.7	13.62	2.73	4.86	36.27	21.16	8.32	22.26	52.45	16.15	21.63	11.91	36.01	35.5
158401	0	0	0.83	1.03	4.74	1.68	12.55	0.8	0.44	2.05	1.43	0	3.47	0.74	0	5.45	3.66
158405	49.56	68.55	36.01	30.12	18.43	18.84	39.22	29.27	24.28	17.38	14.24	37.85	15.45	55.89	45.85	22.43	44.57
158427	204.07	234.57	185.11	166.73	114.36	152.28	79.45	154.42	231.32	65.72	84.63	289.02	144.01	146.03	204.07	205.5	206.94
158431	31	43.32	29.7	23.42	22.1	19.39	25.54	36.01	35.76	23.93	26.47	38.67	21.01	27.44	31.22	26.67	40.93
158471	4181.07	4802.93	3515.68	242.88	90.14	191.67	463.65	2720.15	4836.35	68.55	444.72	5711.87	98.04	624.99	6516.03	138.1	836.53
158511	2.63	3.08	0	1.71	1030.12	0	0	0	0	0	2.48	1.33	0	2.2	0	0	0
158521	0	0	0	0	0	0	0	0	0	0	1.75	0	0	0	0	1.17	0
158584	10.08	10.16	47.5	249.73	285.03	260.38	183.82	181.28	4.35	234.57	177.53	9.63	187.71	181.28	7.06	299.25	191.67
158586	136.19	197.09	144.01	111.21	124.37	84.63	45.85	144.01	201.25	77.79	107.38	181.28	236.21	99.43	127	316.37	175.07
158747	115.16	170.25	122.64	117.6	123.5	118.43	162.14	103.69	139.07	185.11	107.38	115.97	81.71	132.44	94.01	130.6	151.22
